UNITID,INSTNM,CITY,STABBR,INSTURL,SATVRMID,SATMTMID,SATWRMID
102234,Spring Hill College,Mobile,AL,www.shc.edu,550,545,NULL
102261,Southeastern Bible College,Birmingham,AL,sebc.edu/,NULL,NULL,560
102270,Stillman College,Tuscaloosa,AL,www.stillman.edu,405,420,NULL
102298,Talladega College,Talladega,AL,www.talladega.edu,NULL,NULL,NULL
102313,H Councill Trenholm State Community College,Montgomery,AL,www.trenholmstate.edu,NULL,NULL,NULL
102368,Troy University,Troy,AL,www.troy.edu,503,540,NULL
102377,Tuskegee University,Tuskegee,AL,www.tuskegee.edu,500,500,NULL
102395,United States Sports Academy,Daphne,AL,www.ussa.edu,NULL,NULL,NULL
102429,Bevill State Community College,Jasper,AL,www.bscc.edu,NULL,NULL,NULL
102553,University of Alaska Anchorage,Anchorage,AK,www.uaa.alaska.edu,NULL,NULL,NULL
102580,Alaska Bible College,Palmer,AK,www.akbible.edu/,NULL,NULL,NULL
102614,University of Alaska Fairbanks,Fairbanks,AK,www.uaf.edu,540,535,510
102632,University of Alaska Southeast,Juneau,AK,www.uas.alaska.edu,NULL,NULL,NULL
102669,Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,NULL,NULL,455
102711,AVTEC-Alaska's Institute of Technology,Seward,AK,www.avtec.edu/,NULL,NULL,NULL
102845,Charter College,Vancouver,WA,www.chartercollege.edu,NULL,NULL,NULL
103501,Alaska Career College,Anchorage,AK,www.alaskacareercollege.edu,NULL,NULL,NULL
103741,Empire Beauty School-Tucson,Tucson,AZ,www.empire.edu,NULL,NULL,NULL
103778,Thunderbird School of Global Management,Glendale,AZ,https://thunderbird.asu.edu/,NULL,NULL,NULL
103811,American Institute of Trucking,Phoenix,AZ,www.ait-schools.com,NULL,NULL,NULL
103893,Carrington College-Phoenix North,Phoenix,AZ,www.carrington.edu,NULL,NULL,NULL
103909,Carrington College-Mesa,Mesa,AZ,www.carrington.edu,NULL,NULL,NULL
103927,Carrington College-Tucson,Tucson,AZ,www.carrington.edu,NULL,NULL,NULL
